Name,Social Security NO,Account No,Balance,,,,,
,,,,,,,,
,,,,,,,,
Rita Book,656748,23******322,"67,598.00",,,,,
Allie Grater,887595,24******478,"17,593.00",,,,,
Chris Anthemum,587954,24******560,"88,398.00",,,,,
Teri Dactyl,388844,23******652,"50,594.00",,,,,
Olive Yew,274824,23******992,"47,558.00",,,,,
Hugo First,264884,24******125,"67,521.00",,,,,
Colin Sikk,773638,24******220,"1,20,334.00",,,,,
Percy Viere,532482,24******113,"92,749.00",,,,,
Barry Kayde,689921,23******987,"4,76,394.00",,,,,
Mark Atiere,464624,23******968,"48,579.00",,,,,
Willie Maycit,142588,24******554,"76,884.00",,,,,
Neil Doune,421240,24******707,"47,998.00",,,,,
Hugh N. Krye,353147,24******108,"1,84,938.00",,,,,
Jen Tyle,234264,24******489,"89,049.00",,,,,
John Quele,657238,23******894,"79,859.00",,,,,
Greg Aryase,879387,25******034,"99,284.00",,,,,
,,,,,,,Train A,ABCDEFGHIJ
,,,,,,,Train B,BIFEDGHAJC
,,,,,,,Train C,CJAHGFEDIB
,,,,,,,Train D,JIHGFEDCBA
,,,,,,,Train E,EDCBGFIJAH
